"type","longitude","latitude"
"Hospital",-9.1369369,38.7182914
"Hospital",-9.137016,38.7183958
"Hospital",-9.1387001,38.7190868
"Hospital",-9.1367242,38.7174454
"Hospital",-9.1368106,38.7176139
"Hospital",-9.1369412,38.7178687
"Hospital",-9.1366809,38.717361
"Hospital",-9.1369569,38.7178993
"Hospital",-9.1368853,38.7177597
"Hospital",-9.1366446,38.7170668
"Hospital",-9.1439036,38.7219221
"Hospital",-9.144106,38.7225358
"Hospital",-9.1438924,38.7219551
"Hospital",-9.1440808,38.722524
"Hospital",-9.1441336,38.7225322
"Hospital",-9.1438953,38.7219364
"Hospital",-9.1443175,38.7224639
"Hospital",-9.1440909,38.7225314
"Hospital",-9.1439226,38.7219101
"Hospital",-9.1441942,38.7225146
"Hospital",-9.1441903,38.7225089
"Hospital",-9.1441194,38.7225354
"Hospital",-9.1443718,38.7218473
"Hospital",-9.1371249,38.7185995
"Hospital",-9.1376929,38.7290989
"Hospital",-9.1404427,38.7277251
"Hospital",-9.1404128,38.7276799
"Hospital",-9.1381766,38.7298423
"Hospital",-9.1393242,38.7298029
"Hospital",-9.1404427,38.7276979
"Hospital",-9.139577,38.729709
"Hospital",-9.1402281,38.7291439
"Hospital",-9.1381066,38.7284026
"Hospital",-9.1398804,38.7296492
"Hospital",-9.1378282,38.7290968
"Hospital",-9.1399422,38.7296277
"Hospital",-9.1401424,38.7295322
"Hospital",-9.1402281,38.7293279
"Hospital",-9.1388077,38.7299029
"Hospital",-9.1377122,38.7297231
"Hospital",-9.1393813,38.7276313
"Hospital",-9.1389427,38.7299082
"Hospital",-9.1391955,38.7298385
"Hospital",-9.1393189,38.7297736
"Hospital",-9.1378422,38.719453
"Hospital",-9.1377992,38.7194304
"Hospital",-9.1374254,38.7191759
"Hospital",-9.1374587,38.7192253
"Hospital",-9.1377005,38.7193787
"Hospital",-9.1380265,38.7195496
"Hospital",-9.1374427,38.7192016
"Hospital",-9.1378857,38.7194758
"Hospital",-9.1377465,38.7194028
"Hospital",-9.1379731,38.7195216
"Hospital",-9.1375347,38.7192918
"Hospital",-9.13747,38.719242
"Hospital",-9.1376309,38.7193423
"Hospital",-9.1373916,38.7191259
"Hospital",-9.1379271,38.7194975
"Hospital",-9.1382737,38.7172047
"Hospital",-9.1383524,38.717332
"Hospital",-9.1384327,38.7174762
"Hospital",-9.1384532,38.7175155
"Hospital",-9.1386864,38.7179094
"Hospital",-9.1387265,38.7179447
"Hospital",-9.1383232,38.7172848
"Hospital",-9.1321096,38.7332789
"Hospital",-9.1321341,38.7332175
"Hospital",-9.1400609,38.7295813
"Hospital",-9.1448886,38.7245365
"Hospital",-9.1452232,38.7243833
"Hospital",-9.1450443,38.7244626
"Hospital",-9.1418385,38.7213654
"Hospital",-9.1688449,38.7049143
"Hospital",-9.1685598,38.7049304
"Hospital",-9.1686995,38.7049225
"Hospital",-9.1494494,38.7599822
"Hospital",-9.1448008,38.7603908
"Hospital",-9.1499832,38.758496
"Hospital",-9.1469297,38.7610154
"Hospital",-9.1433059,38.757642
"Hospital",-9.146048,38.7609801
"Hospital",-9.1499885,38.7585832
"Hospital",-9.1489664,38.7603584
"Hospital",-9.2185595,38.7066015
"Hospital",-9.2169767,38.7083653
"Hospital",-9.2180764,38.7079592
"Hospital",-9.2168333,38.707866
"Hospital",-9.2182749,38.7077332
"Hospital",-9.2171094,38.7079064
"Hospital",-9.2175071,38.7064422
"Hospital",-9.2169391,38.7075238
"Hospital",-9.2172074,38.7075657
"Hospital",-9.2177116,38.7081559
"Hospital",-9.1522376,38.7395727
"Hospital",-9.1524962,38.7398505
"Hospital",-9.1523876,38.7402197
"Hospital",-9.1523575,38.7397346
"Hospital",-9.1533419,38.7394005
"Hospital",-9.1542008,38.7403299
"Hospital",-9.1535592,38.740621
"Hospital",-9.1537188,38.7414131
"Hospital",-9.1499824,38.7415526
"Hospital",-9.151198,38.7428989
"Hospital",-9.230181,38.7286351
"Hospital",-9.2304254,38.7288174
"Hospital",-9.2342001,38.7274226
"Hospital",-9.2334082,38.7267101
"Hospital",-9.2339996,38.7275043
"Hospital",-9.2343845,38.725911
"Hospital",-9.2341491,38.7274886
"Hospital",-9.2337555,38.7261338
"Hospital",-9.2337408,38.7274174
"Hospital",-9.2335113,38.7274662
"Hospital",-9.2328738,38.7268643
"Hospital",-9.2335105,38.7273879
"Hospital",-9.2342253,38.727241
"Hospital",-9.2342086,38.7258076
"Hospital",-9.1506249,38.7125348
"Hospital",-9.1150457,38.7678874
"Hospital",-9.2231917,38.6926045
"Hospital",-9.2228303,38.6926854
"Hospital",-9.2220009,38.6929156
"Hospital",-9.2215084,38.6931807
"Hospital",-9.2229225,38.69323
"Hospital",-9.2213878,38.6933046
"Hospital",-9.2224995,38.6933574
"Hospital",-9.2225648,38.6935551
"Hospital",-9.2225938,38.6935462
"Hospital",-9.2226286,38.6936832
"Hospital",-9.2219686,38.6938867
"Hospital",-9.2221146,38.6941204
"Hospital",-9.1579672,38.7646293
"Hospital",-9.1769567,38.7655124
"Hospital",-9.1743819,38.7655136
"Hospital",-9.1741954,38.7655301
"Hospital",-9.1769017,38.7658834
"Hospital",-9.1733071,38.7664264
"Hospital",-9.1769439,38.7665179
"Hospital",-9.1737369,38.7683266
"Hospital",-9.1765496,38.7688668
"Hospital",-9.1737346,38.768864
"Hospital",-9.2199478,38.7751489
"Hospital",-9.2181158,38.775324
"Hospital",-9.161653,38.7499939
"Hospital",-9.1655676,38.7404388
"Hospital",-9.15825,38.7391945
"Hospital",-9.1610106,38.7389814
"Hospital",-9.1598995,38.7386409
"Hospital",-9.1597118,38.7386325
"Hospital",-9.1595508,38.7386535
"Hospital",-9.1589681,38.7404451
"Hospital",-9.1610582,38.7390384
"Hospital",-9.1584693,38.7391043
"Hospital",-9.1620414,38.7393455
"Hospital",-9.1907039,38.7559879
"Hospital",-9.191545,38.7550335
"Hospital",-9.1908214,38.7558424
"Hospital",-9.1584485,38.7339159
"Hospital",-9.1746468,38.7688438
"Hospital",-9.1734417,38.7667755
"Hospital",-9.2181188,38.7753482
"Hospital",-9.1521673,38.7403828
